cvegeo,intralinks,size,grado,fuerza,longitude,latitude
1501300011323,8.0,90,43,63,-99.25554348478076,19.577393489903066
1501300011395,19.0,188,103,191,-99.24477503525006,19.585989229614547
1502500171875,0.0,0,0,0,-98.81862637977987,19.220375379191616
1503100010855,24.0,151,116,235,-98.94444391976631,19.40161927496987
150330001110A,15.0,143,115,218,-99.03756088497244,19.50147373011248
1503300012165,"",22,28,34,-98.99415103022548,19.636958654962676
1503300012199,"",36,58,277,-98.99131889513279,19.63325590009453
1503400010081,"",3,3,7,-98.75609616479412,18.96083828494615
1503900010887,"",10,12,16,-98.92333737425636,19.32124517626206
1503900011902,"",20,71,87,-98.88495217988856,19.311359654925788
1505100860487,1.0,34,79,109,-99.53650723475226,19.314171747402312
1505700012330,99.0,299,170,434,-99.25814605498334,19.45341513998722
150630098,"",5,12,18,-99.44700723385861,18.978330670912364
1506700010203,"",17,18,18,-99.55878497451434,19.407859650378043
1508100040594,1.0,25,46,68,-98.98999227994918,19.770422064902583
151000007020A,3.0,35,52,92,-98.95249304449743,19.605697380112396
1510400010904,38.0,125,46,90,-99.22597141976867,19.516948275228913
1510400011993,44.0,200,111,337,-99.1740431237163,19.558210014177092
1510900030474,"",18,17,29,-99.16353574038592,19.608417889762062
1512100012282,"",41,37,43,-99.21357589520287,19.654208505308198
1512200011135,"",50,96,133,-98.93436267143159,19.264808439931166
1700900170105,4.0,57,3,4,-99.24269569973956,19.05939895634381
0900200011061,"",45,14,18,-99.16400375514499,19.463000860258944
0900600010823,24.0,142,80,134,-99.10956878465069,19.38626068500941
0900700010642,12.0,116,45,159,-99.1339141696485,19.36390911496538
090070001262A,163.0,247,172,389,-98.99721672966501,19.35184058501651
0900700013990,32.0,131,92,160,-99.08399392531467,19.337418340091176
090080001032A,22.0,200,121,237,-99.23702526986148,19.30714081471608
0901000011932,36.0,121,71,114,-99.2243957599284,19.37974335485842
0901200192475,2.0,24,5,8,-99.17401909466852,19.132622425100006
0901300011578,0.0,0,0,0,-99.05518948446569,19.240781830324565
0901400010115,60.0,211,140,248,-99.14135823928854,19.399029875054048
